,LIBELLE
771,Plaintel
772,Santeuil-Le Perchay
773,Raves-Ban-de-Laveline
774,Pibrac
775,Châtenois (Bas-Rhin)
776,Tournon-St-Martin
777,Achères-Grand-Cormier
778,Bavay
779,Collonges
780,Limoges-Bénédictins
781,St-Denis-Catus
782,Melun
783,Richwiller
784,Porchefontaine
785,Igny
786,Bonneville
787,Chelles-Gournay
788,Thun-le-Paradis
789,Pont-de-Briques
790,Boulazac
791,Bruyères
793,Haybes
794,Nerpuy
795,Bouaye
796,Chambéry-Challes-les-Eaux
797,Pas-des-Lanciers
798,Luchon
799,Limay
800,Villetaneuse-Université TT
801,Charbonnières-les-Bains
802,Lamarche
803,Montdauphin-Guillestre
804,Bricon
805,Chasse-sur-Rhône
806,Villefranche-de-Lauragais
807,La Croix-du-Prince
808,Romorantin (Voie étroite)
809,Azay-le-Rideau
810,St-Égrève-St-Robert
811,St-Étienne-Le Clapier
812,Fronville
813,St-Valéry-en-Caux
814,Vichy
815,Ivry-sur-Seine
816,La Valbonne
817,Châteauroux
818,St-Cloud
819,Morlaix
820,Ermont-Eaubonne
821,Le Theil-de-Bretagne
822,St-Vallier-sur-Rhône
823,Plouaret-Trégor
824,Epfig
825,St-Pol-de-Léon
826,Vannes
827,Bénestroff
828,Château-Arnoux-St-Auban
829,Chamalières-sur-Loire
830,Belvezet
831,Tain-l'Hermitage-Tournon
832,Aurillac
833,Lavaufranche
834,Meung-sur-Loire
835,Pignans
836,Langeais
837,Schweighouse-sur-Moder
838,Moustéru
839,Montmédy
840,Wingen-sur-Moder
841,Marignac-St-Béat
842,Phalempin
843,Martres-Tolosane
844,Moret-Veneux-les-Sablons
845,La Souterraine
846,Le Buet
847,Trogues
848,Fontan-Saorge
849,La Brigue
850,Attin-Garage
851,Laroque
852,Muhlbach-sur-Munster
853,Montsoult-Maffliers
854,Brens-Virignin
855,Fouilloy
856,Batilly
857,St-Pierre-le-Viger-Fontaine-le-Dun
858,Le Coteau
859,St-Michel-Valloire
860,Abancourt
861,Arenc-Euroméditerranée
862,Pont-à-Mousson
863,Pont-d'Ain
864,Château-Chinon
865,Luttenbach-près-Munster
866,Fos-Graveleau
867,Montérolier-Buchy
868,Is-sur-Tille
